Date Stocked,Location stocked,Catchment,Species stocked,Number stocked
7/03/2012,Chinchilla Weir,Condamine and Balonne,Golden Perch,23250
7/03/2012,Lower Fitzroy River,Fitzroy,Barramundi,4300
10/03/2012,Beardmore Dam,Condamine and Balonne,Murray Cod,8000
10/03/2012,Beardmore Dam,Condamine and Balonne,Golden Perch,70000
10/03/2012,Beardmore Dam,Condamine and Balonne,Golden Perch,50000
10/03/2012,Beardmore Dam,Condamine and Balonne,Murray Cod,8000
11/03/2012,Balonne River,Condamine and Balonne,Murray Cod,75
11/03/2012,Balonne River,Condamine and Balonne,Golden Perch,25000
17/03/2012,Mount Morgan Big Dam,Fitzroy,Golden Perch,7000
17/03/2012,Callide Dam,Fitzroy,Golden Perch,15092
17/03/2012,Chinchilla Weir,Condamine and Balonne,Golden Perch,345
21/03/2012,Oakey Creek,Condamine and Balonne,Silver Perch,2000
24/03/2012,Dawson River,Fitzroy,Golden Perch,22400
24/03/2012,Glebe Weir,Fitzroy,Golden Perch,5600
29/03/2012,Fairbairn Dam,Fitzroy,Golden Perch,68000
30/03/2012,Lake Awoonga,Gladstone,Barramundi,107000
31/03/2012,Kings Creek,Condamine and Balonne,Silver Perch,1087
31/03/2012,Talgai Weir,Condamine and Balonne,Silver Perch,1087
31/03/2012,Claude Wharton Weir,Burnett,Golden Perch,60606
31/03/2012,Leslie Dam,Condamine and Balonne,Murray Cod,11667
31/03/2012,Leslie Dam,Condamine and Balonne,Silver Perch,20000
31/03/2012,Leslie Dam,Condamine and Balonne,Golden Perch,97089
31/03/2012,Cressbrook Dam,Brisbane,Australian Bass,30000
31/03/2012,Leslie Dam,Condamine and Balonne,Golden Perch,74056
31/03/2012,Cooby Dam,Condamine and Balonne,Golden Perch,25000
1/04/2012,Neville Hewitt Weir,Fitzroy,Golden Perch,16000
1/04/2012,Moura Weir,Fitzroy,Golden Perch,30000
3/04/2012,Lake MacDonald,Mary,Golden Perch,6060
1/05/2012,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,4710
3/05/2012,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,100
7/05/2012,Glenlyon Dam,Border Rivers,Golden Perch,30000
13/05/2012,Tara Weir,Condamine and Balonne,Golden Perch,21000
19/05/2012,Tinaroo Dam,Barron,Barramundi,6078
19/05/2012,Tinaroo Dam,Barron,Barramundi,716
29/06/2012,Lake Awoonga,Gladstone,Barramundi,57000
2/07/2012,Dicks Bank Lagoon,Burdekin,Barramundi,250
18/07/2012,Glenarbon Weir,Border Rivers,Golden Perch,6250
18/07/2012,Bonshaw Weir,Border Rivers,Golden Perch,6250
30/07/2012,Churches Lagoon,Burdekin,Barramundi,250
18/08/2012,Lake Gregory,Burnett,Silver Perch,6818
19/08/2012,Gorizzia's Lagoon,Burdekin,Barramundi,250
30/08/2012,Tinaroo Dam,Barron,Barramundi,2600
12/09/2012,Lake Fred Tritton,Gulf,Barramundi,200
23/09/2012,Pioneer River,Pioneer,Barramundi,3801
27/09/2012,Koombooloomba Dam,Tully,Barramundi,1655
27/09/2012,Koombooloomba Dam,Tully,Barramundi,410
4/10/2012,Theresa Creek Dam,Fitzroy,Barramundi,1500
4/10/2012,Theresa Creek Dam,Fitzroy,Barramundi,2500
11/10/2012,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,60000
17/10/2012,Tinaroo Dam,Barron,Barramundi,2500
21/10/2012,North Pine Dam,Pine,Australian Bass,19200
21/10/2012,Lake Kurwongbah (Sideling Creek Dam),Pine,Australian Bass,17900
22/10/2012,Black Weir,Townsville,Barramundi,1200
28/10/2012,Lake Awoonga,Gladstone,Sea Mullet,61000
28/10/2012,North Pine Dam,Pine,Australian Bass,13500
30/10/2012,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,16700
6/11/2012,Tinaroo Dam,Barron,Barramundi,1374
6/11/2012,Tinaroo Dam,Barron,Barramundi,356
23/11/2012,North Pine Dam,Pine,Australian Bass,21050
23/11/2012,Boondooma Dam,Burnett,Australian Bass,100000
23/11/2012,North Pine Dam,Pine,Australian Bass,950
29/11/2012,Gordonbrook Dam,Burnett,Australian Bass,30000
1/12/2012,Robina Lakes,Gold Coast,Australian Bass,12000
8/12/2012,North Pine Dam,Pine,Australian Bass,10800
8/12/2012,Ward River,Warrego,Murray Cod,7500
9/12/2012,MacIntyre Brook,Border Rivers,Murray Cod,3400
9/12/2012,Robina Lakes,Gold Coast,Australian Bass,1216
9/12/2012,Robina Lakes,Gold Coast,Australian Bass,13334
14/12/2012,Wivenhoe Dam,Brisbane,Golden Perch,70104
14/12/2012,Wivenhoe Dam,Brisbane,Australian Bass,36248
14/12/2012,Borumba Dam,Mary,Golden Perch,40000
16/12/2012,Kinchant Dam,Pioneer,Barramundi,15888
17/12/2012,Boondooma Dam,Burnett,Golden Perch,100000
18/12/2012,Peter Faust Dam,Whitsundays,Barramundi,2500
18/12/2012,Somerset Dam,Brisbane,Australian Bass,45679
19/12/2012,Connolly Dam,Condamine and Balonne,Golden Perch,10240
20/12/2012,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,11800
22/12/2012,Cania Dam,Burnett,Australian Bass,22727
22/12/2012,Cania Dam,Burnett,Golden Perch,52000
22/12/2012,Eungella Dam,Burdekin,Barramundi,10477
22/12/2012,Cania Dam,Burnett,Silver Perch,22727
29/12/2012,Atkinsons Dam,Brisbane,Saratoga,54
30/12/2012,Lake Kurwongbah (Sideling Creek Dam),Pine,Saratoga,36
1/01/2013,Favero's Lagoon,Burdekin,Barramundi,100
1/01/2013,Dicks Bank Lagoon,Burdekin,Barramundi,950
1/01/2013,Payards Lagoon,Burdekin,Barramundi,1000
1/01/2013,Giru Weir,Burdekin,Barramundi,1920
1/01/2013,Gorizzia's Lagoon,Burdekin,Barramundi,500
1/01/2013,Hutchings Lagoon,Burdekin,Barramundi,500
1/01/2013,Churches Lagoon,Burdekin,Barramundi,250
5/01/2013,Bremer River,Brisbane,Australian Bass,1750
7/01/2013,Connolly Dam,Condamine and Balonne,Silver Perch,1500
9/01/2013,Hinze Dam,Gold Coast,Golden Perch,42000
11/01/2013,Borumba Dam,Mary,Australian Bass,40000
11/01/2013,Borumba Dam,Mary,Silver Perch,19000
12/01/2013,Mt Crosby Weir,Brisbane,Australian Bass,12920
15/01/2013,Cressbrook Dam,Brisbane,Australian Bass,25000
15/01/2013,Cressbrook Dam,Brisbane,Golden Perch,25000
17/01/2013,Fairbairn Dam,Fitzroy,Barramundi,34000
18/01/2013,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,4600
18/01/2013,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,7000
18/01/2013,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,8000
18/01/2013,Boondooma Dam,Burnett,Silver Perch,12000
18/01/2013,Connolly Dam,Condamine and Balonne,Murray Cod,1167
19/01/2013,Somerset Dam,Brisbane,Australian Bass,50000
19/01/2013,Lockyer Creek,Brisbane,Australian Bass,12182
20/01/2013,Gil Weir,Condamine and Balonne,Golden Perch,30000
21/01/2013,Lake MacDonald,Mary,Australian Bass,20000
23/01/2013,Somerset Dam,Brisbane,Golden Perch,74880
23/01/2013,Wivenhoe Dam,Brisbane,Silver Perch,136412
23/01/2013,Somerset Dam,Brisbane,Silver Perch,75780
24/01/2013,Maroon Dam,Logan,Silver Perch,15742
24/01/2013,Moogerah Dam,Brisbane,Silver Perch,23338
24/01/2013,Moogerah Dam,Brisbane,Golden Perch,35007
24/01/2013,Maroon Dam,Logan,Golden Perch,23613
24/01/2013,Moogerah Dam,Brisbane,Australian Bass,58348
24/01/2013,Maroon Dam,Logan,Australian Bass,39365
26/01/2013,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,35000
31/01/2013,Peter Faust Dam,Whitsundays,Barramundi,2500
1/02/2013,Beebo Weir,Border Rivers,Golden Perch,4166
1/02/2013,Beebo Weir,Border Rivers,Golden Perch,4168
1/02/2013,Mount Morgan Big Dam,Fitzroy,Golden Perch,8500
1/02/2013,Storm King Dam,Border Rivers,Silver Perch,7087
1/02/2013,Storm King Dam,Border Rivers,Golden Perch,14175
1/02/2013,Storm King Dam,Border Rivers,Murray Cod,1000
1/02/2013,Bonshaw Weir,Border Rivers,Golden Perch,4166
2/02/2013,Callide Dam,Fitzroy,Golden Perch,16200
2/02/2013,Peter Faust Dam,Whitsundays,Barramundi,2500
6/02/2013,Peter Faust Dam,Whitsundays,Barramundi,2500
6/02/2013,Callide Dam,Fitzroy,Barramundi,13000
9/02/2013,Fairbairn Dam,Fitzroy,Golden Perch,83636
9/02/2013,Goondiwindi (Hilton) Weir,Border Rivers,Murray Cod,2000
9/02/2013,Talgai Weir,Condamine and Balonne,Golden Perch,8695
9/02/2013,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,40000
10/02/2013,Ben Anderson Barrage,Burnett,Saratoga,51
16/02/2013,MacIntyre Brook,Border Rivers,Golden Perch,12000
17/02/2013,Moura Weir,Fitzroy,Golden Perch,28000
20/02/2013,Lake MacDonald,Mary,Golden Perch,10000
22/02/2013,Callide Dam,Fitzroy,Sleepy Cod,336
23/02/2013,Tinaroo Dam,Barron,Barramundi,1830
23/02/2013,Lake Awoonga,Gladstone,Barramundi,57000
23/02/2013,Tinaroo Dam,Barron,Barramundi,300
23/02/2013,Tinaroo Dam,Barron,Barramundi,1626
24/02/2013,Stanley River,Brisbane,Australian Bass,1000
24/02/2013,Caboolture River Weir,Caboolture,Australian Bass,10000
24/02/2013,Waraba Creek Weir,Caboolture,Australian Bass,5000
24/02/2013,Caboolture River Weir,Caboolture,Australian Bass,10000
24/02/2013,Stanley River,Brisbane,Golden Perch,5600
24/02/2013,Woodford Weir,Brisbane,Golden Perch,5600
24/02/2013,Caboolture River Weir,Caboolture,Australian Bass,5000
24/02/2013,Caboolture River Weir,Caboolture,Golden Perch,5600
8/03/2013,Cooby Dam,Condamine and Balonne,Golden Perch,25000
8/03/2013,Cooby Dam,Condamine and Balonne,Murray Cod,2000
8/03/2013,Coolmunda Dam,Border Rivers,Murray Cod,7000
8/03/2013,Coolmunda Dam,Border Rivers,Silver Perch,15000
8/03/2013,Coolmunda Dam,Border Rivers,Golden Perch,104500
9/03/2013,Teemburra Dam,Pioneer,Barramundi,6763
12/03/2013,Glebe Weir,Fitzroy,Golden Perch,16000
13/03/2013,Tinaroo Dam,Barron,Barramundi,400
16/03/2013,Lenthalls Dam (Lake Lenthall),Mary,Golden Perch,22727
1/04/2013,Beebo Weir,Border Rivers,Golden Perch,4000
1/04/2013,Bonshaw Weir,Border Rivers,Golden Perch,4000
1/04/2013,Beebo Weir,Border Rivers,Golden Perch,4000
6/04/2013,Lake Callemondah,Gladstone,Barramundi,3000
10/04/2013,Callide Dam,Fitzroy,Barramundi,10600
15/04/2013,Bjelke Peterson Dam,Burnett,Golden Perch,180000
15/04/2013,Bjelke Peterson Dam,Burnett,Silver Perch,25000
15/04/2013,Bjelke Peterson Dam,Burnett,Australian Bass,100000
26/04/2013,Lake Awoonga,Gladstone,Barramundi,163500
27/04/2013,Charters Towers Weir,Burdekin,Barramundi,1000
9/05/2013,Yuleba Creek,Condamine and Balonne,Golden Perch,12121
12/05/2013,Payards Lagoon,Burdekin,Barramundi,125
25/05/2013,Somerset Dam,Brisbane,Silver Perch,5940
1/06/2013,Somerset Dam,Brisbane,Silver Perch,23100
17/08/2013,Black Weir,Townsville,Barramundi,1200
23/08/2013,Kinchant Dam,Pioneer,Barramundi,5311
7/09/2013,Eungella Dam,Burdekin,Barramundi,4409
7/09/2013,Teemburra Dam,Pioneer,Barramundi,4762
12/09/2013,Tinaroo Dam,Barron,Barramundi,35
12/09/2013,Tinaroo Dam,Barron,Barramundi,932
12/09/2013,Tinaroo Dam,Barron,Barramundi,35
12/09/2013,Tinaroo Dam,Barron,Barramundi,932
3/10/2013,Tinaroo Dam,Barron,Barramundi,3200
3/10/2013,Tinaroo Dam,Barron,Barramundi,3200
12/10/2013,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,90000
20/10/2013,Tinaroo Dam,Barron,Barramundi,300
21/10/2013,Lake Awoonga,Gladstone,Barramundi,13575
27/10/2013,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,18750
2/11/2013,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,5700
12/11/2013,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,2019
12/11/2013,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,1000
12/11/2013,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,600
30/11/2013,Fitzroy River Barrage,Fitzroy,Barramundi,100
30/11/2013,Fitzroy River Barrage,Fitzroy,Barramundi,306
12/12/2013,Tinaroo Dam,Barron,Barramundi,3200
13/12/2013,Wivenhoe Dam,Brisbane,Golden Perch,51149
13/12/2013,Wivenhoe Dam,Brisbane,Australian Bass,6808
15/12/2013,Borumba Dam,Mary,Australian Bass,40000
19/12/2013,Condamine River (Upper - Warwick),Condamine and Balonne,Murray Cod,2182
19/12/2013,Leslie Dam,Condamine and Balonne,Murray Cod,14000
19/12/2013,Connolly Dam,Condamine and Balonne,Murray Cod,1400
20/12/2013,Glenlyon Dam,Border Rivers,Murray Cod,4200
20/12/2013,Glenlyon Dam,Border Rivers,Murray Cod,5016
22/12/2013,North Pine Dam,Pine,Australian Bass,44000
31/12/2013,Glenlyon Dam,Border Rivers,Golden Perch,80000
10/01/2014,Lake Kurwongbah (Sideling Creek Dam),Pine,Australian Bass,21000
10/01/2014,Boondooma Dam,Burnett,Golden Perch,80000
10/01/2014,Boondooma Dam,Burnett,Silver Perch,10000
10/01/2014,Boondooma Dam,Burnett,Australian Bass,100000
10/01/2014,Gordonbrook Dam,Burnett,Australian Bass,25000
10/01/2014,Lake Kurwongbah (Sideling Creek Dam),Pine,Golden Perch,10000
11/01/2014,Mt Crosby Weir,Brisbane,Australian Bass,7640
17/01/2014,Cooby Dam,Condamine and Balonne,Murray Cod,2000
17/01/2014,Cooby Dam,Condamine and Balonne,Golden Perch,25000
19/01/2014,Storm King Dam,Border Rivers,Murray Cod,500
19/01/2014,Storm King Dam,Border Rivers,Golden Perch,15923
19/01/2014,Glenlyon Dam,Border Rivers,Golden Perch,10000
19/01/2014,Glenlyon Dam,Border Rivers,Murray Cod,4545
19/01/2014,Glenlyon Dam,Border Rivers,Golden Perch,100000
19/01/2014,Storm King Dam,Border Rivers,Silver Perch,7090
21/01/2014,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,7000
21/01/2014,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,4000
21/01/2014,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,8000
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,3810
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,5964
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,6129
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,2829
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,32
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,3843
26/01/2014,Lake Moondarra (Leichardt River Dam),Gulf,Barramundi,22607
27/01/2014,Connolly Dam,Condamine and Balonne,Golden Perch,10240
27/01/2014,Leslie Dam,Condamine and Balonne,Golden Perch,15750
27/01/2014,Leslie Dam,Condamine and Balonne,Golden Perch,31500
28/01/2014,Leslie Dam,Condamine and Balonne,Golden Perch,22106
28/01/2014,Condamine River (Upper - Warwick),Condamine and Balonne,Golden Perch,17894
29/01/2014,Cressbrook Dam,Brisbane,Golden Perch,10000
30/01/2014,Borumba Dam,Mary,Golden Perch,40000
30/01/2014,Borumba Dam,Mary,Silver Perch,19000
1/02/2014,Cania Dam,Burnett,Golden Perch,89290
2/02/2014,Moogerah Dam,Brisbane,Silver Perch,8254
2/02/2014,Leslie Dam,Condamine and Balonne,Golden Perch,20000
2/02/2014,Leslie Dam,Condamine and Balonne,Golden Perch,45000
2/02/2014,Coolmunda Dam,Border Rivers,Murray Cod,8000
2/02/2014,Moogerah Dam,Brisbane,Golden Perch,33287
2/02/2014,Moogerah Dam,Brisbane,Australian Bass,41000
2/02/2014,Coolmunda Dam,Border Rivers,Golden Perch,80450
2/02/2014,Coolmunda Dam,Border Rivers,Silver Perch,10000
2/02/2014,Maroon Dam,Logan,Australian Bass,14530
2/02/2014,Maroon Dam,Logan,Golden Perch,19293
2/02/2014,Maroon Dam,Logan,Silver Perch,3760
5/02/2014,Callide Dam,Fitzroy,Barramundi,16000
5/02/2014,Storm King Dam,Border Rivers,Silver Perch,2590
9/02/2014,Peter Faust Dam,Whitsundays,Barramundi,5000
9/02/2014,Lake Gregory,Burnett,Silver Perch,24363
9/02/2014,Fairbairn Dam,Fitzroy,Golden Perch,18181
9/02/2014,Fairbairn Dam,Fitzroy,Golden Perch,29092
15/02/2014,Lake MacDonald,Mary,Australian Bass,14000
15/02/2014,Stanley River,Brisbane,Australian Bass,2000
15/02/2014,Lake MacDonald,Mary,Golden Perch,9135
15/02/2014,Stanley River,Brisbane,Golden Perch,4600
15/02/2014,Caboolture River Weir,Caboolture,Australian Bass,14000
16/02/2014,Lenthalls Dam (Lake Lenthall),Mary,Golden Perch,5113
16/02/2014,Somerset Dam,Brisbane,Golden Perch,40070
16/02/2014,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,5000
16/02/2014,Wivenhoe Dam,Brisbane,Golden Perch,138086
18/02/2014,Bjelke Peterson Dam,Burnett,Australian Bass,60000
18/02/2014,Bjelke Peterson Dam,Burnett,Silver Perch,15000
18/02/2014,Bjelke Peterson Dam,Burnett,Golden Perch,130000
19/02/2014,Moogerah Dam,Brisbane,Golden Perch,8259
19/02/2014,Maroon Dam,Logan,Golden Perch,3759
19/02/2014,Fairbairn Dam,Fitzroy,Barramundi,30000
19/02/2014,Wuruma Dam,Burnett,Silver Perch,22000
20/02/2014,Cressbrook Dam,Brisbane,Australian Bass,25000
20/02/2014,Cressbrook Dam,Brisbane,Golden Perch,15000
22/02/2014,North Pine Dam,Pine,Golden Perch,63000
23/02/2014,Leslie Dam,Condamine and Balonne,Golden Perch,36510
23/02/2014,Callide Dam,Fitzroy,Golden Perch,29568
23/02/2014,Connolly Dam,Condamine and Balonne,Golden Perch,1000
27/02/2014,Leslie Dam,Condamine and Balonne,Silver Perch,15000
27/02/2014,Connolly Dam,Condamine and Balonne,Silver Perch,1500
27/02/2014,Condamine River (Upper - Warwick),Condamine and Balonne,Silver Perch,1500
27/02/2014,Somerset Dam,Brisbane,Silver Perch,61348
28/02/2014,Glenlyon Dam,Border Rivers,Silver Perch,10000
12/03/2014,Tinaroo Dam,Barron,Barramundi,50
18/03/2014,Somerset Dam,Brisbane,Silver Perch,52008
19/03/2014,Peter Faust Dam,Whitsundays,Barramundi,2500
25/03/2014,Peter Faust Dam,Whitsundays,Barramundi,3000
28/03/2014,Bedford Weir,Fitzroy,Golden Perch,28000
5/04/2014,Mount Morgan Big Dam,Fitzroy,Silver Perch,1000
5/04/2014,Mount Morgan Big Dam,Fitzroy,Golden Perch,7000
12/04/2014,Somerset Dam,Brisbane,Silver Perch,53080
15/04/2014,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,15000
24/04/2014,Lake Belmore,Gulf,Barramundi,2500
24/04/2014,Lake Belmore,Gulf,Barramundi,2000
24/04/2014,Lake Belmore,Gulf,Barramundi,2000
25/04/2014,Lake Awoonga,Gladstone,Barramundi,17000
1/05/2014,Tinaroo Dam,Barron,Barramundi,250
6/05/2014,Lake Awoonga,Gladstone,Barramundi,80000
13/05/2014,Lake Awoonga,Gladstone,Barramundi,13000
13/05/2014,Lake Awoonga,Gladstone,Barramundi,50000
13/05/2014,Lake Awoonga,Gladstone,Barramundi,37500
20/05/2014,Tinaroo Dam,Barron,Barramundi,100
8/07/2014,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,33545
19/08/2014,Bedford Weir,Fitzroy,Barramundi,26000
6/09/2014,Black Weir,Townsville,Barramundi,1000
24/09/2014,Lake Awoonga,Gladstone,Barramundi,17000
1/10/2014,Tinaroo Dam,Barron,Barramundi,758
4/10/2014,Bedford Weir,Fitzroy,Barramundi,500
6/10/2014,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,72726
8/10/2014,Tinaroo Dam,Barron,Barramundi,2610
8/10/2014,Tinaroo Dam,Barron,Barramundi,400
18/10/2014,Tinaroo Dam,Barron,Barramundi,880
18/10/2014,Teemburra Dam,Pioneer,Barramundi,8400
18/10/2014,Teemburra Dam,Pioneer,Barramundi,1500
18/10/2014,Teemburra Dam,Pioneer,Barramundi,700
26/10/2014,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,340
29/10/2014,Lake Gregory,Burnett,Australian Bass,25865
13/11/2014,Tinaroo Dam,Barron,Barramundi,150
15/11/2014,Fitzroy River Barrage,Fitzroy,Barramundi,318
16/11/2014,Boondooma Dam,Burnett,Australian Bass,160000
16/11/2014,Gordonbrook Dam,Burnett,Australian Bass,27000
23/11/2014,Somerset Dam,Brisbane,Australian Bass,237995
29/11/2014,Borumba Dam,Mary,Australian Bass,40000
29/11/2014,Wivenhoe Dam,Brisbane,Australian Bass,89099
30/11/2014,Wyaralong Dam,Logan,Australian Bass,10000
1/12/2014,Bjelke Peterson Dam,Burnett,Australian Bass,70000
1/12/2014,Bjelke Peterson Dam,Burnett,Silver Perch,10000
1/12/2014,Bjelke Peterson Dam,Burnett,Golden Perch,120000
1/12/2014,Lake Gregory,Burnett,Saratoga,50
2/12/2014,Lake MacDonald,Mary,Australian Bass,21818
4/12/2014,Lake Awoonga,Gladstone,Barramundi,350
4/12/2014,Wyaralong Dam,Logan,Mary River Cod,4800
6/12/2014,North Pine Dam,Pine,Australian Bass,217000
10/12/2014,Tinaroo Dam,Barron,Barramundi,800
12/12/2014,Tinaroo Dam,Barron,Barramundi,750
16/12/2014,Fred Haigh Dam (Lake Monduran),Kolan,Australian Bass,43640
17/12/2014,Callide Dam,Fitzroy,Barramundi,11236
17/12/2014,Connolly Dam,Condamine and Balonne,Murray Cod,1400
17/12/2014,Condamine River (Upper - Warwick),Condamine and Balonne,Murray Cod,2000
17/12/2014,Leslie Dam,Condamine and Balonne,Murray Cod,20000
18/12/2014,North Pine Dam,Pine,Australian Bass,42000
19/12/2014,Glenlyon Dam,Border Rivers,Murray Cod,5000
20/12/2014,Wuruma Dam,Burnett,Australian Bass,59636
20/12/2014,Wuruma Dam,Burnett,Golden Perch,80000
20/12/2014,Fairbairn Dam,Fitzroy,Barramundi,550
21/12/2014,Ewen Maddock Dam,Mary,Golden Perch,2000
21/12/2014,Baroon Pocket Dam,Mary River,Australian Bass,2000
21/12/2014,Ewen Maddock Dam,Mary,Australian Bass,6000
31/12/2014,Glenlyon Dam,Border Rivers,Golden Perch,45000
31/12/2014,Glenlyon Dam,Border Rivers,Silver Perch,10000
4/01/2015,Storm King Dam,Border Rivers,Golden Perch,17752
4/01/2015,Storm King Dam,Border Rivers,Murray Cod,1690
5/01/2015,Glenlyon Dam,Border Rivers,Golden Perch,30000
5/01/2015,Glenlyon Dam,Border Rivers,Golden Perch,28440
9/01/2015,Cooby Dam,Condamine and Balonne,Golden Perch,25000
9/01/2015,Cooby Dam,Condamine and Balonne,Murray Cod,2000
10/01/2015,Ewen Maddock Dam,Mary,Australian Bass,25500
10/01/2015,Boondooma Dam,Burnett,Golden Perch,100000
11/01/2015,Cania Dam,Burnett,Australian Bass,49934
11/01/2015,Glenlyon Dam,Border Rivers,Golden Perch,41560
12/01/2015,Cressbrook Dam,Brisbane,Australian Bass,30000
12/01/2015,Cressbrook Dam,Brisbane,Golden Perch,10000
16/01/2015,Glenlyon Dam,Border Rivers,Golden Perch,25000
17/01/2015,Coolmunda Dam,Border Rivers,Golden Perch,83182
17/01/2015,Coolmunda Dam,Border Rivers,Murray Cod,10000
17/01/2015,Talgai Weir,Condamine and Balonne,Murray Cod,649
17/01/2015,Talgai Weir,Condamine and Balonne,Golden Perch,8695
17/01/2015,Coolmunda Dam,Border Rivers,Silver Perch,10000
18/01/2015,Leslie Dam,Condamine and Balonne,Murray Cod,12987
18/01/2015,Leslie Dam,Condamine and Balonne,Golden Perch,5500
28/01/2015,Maroon Dam,Logan,Silver Perch,7177
28/01/2015,Moogerah Dam,Brisbane,Silver Perch,12082
28/01/2015,Moogerah Dam,Brisbane,Australian Bass,48332
28/01/2015,Moogerah Dam,Brisbane,Golden Perch,48332
28/01/2015,Maroon Dam,Logan,Australian Bass,28710
28/01/2015,Maroon Dam,Logan,Golden Perch,28710
30/01/2015,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,6000
30/01/2015,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,6000
30/01/2015,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,6000
31/01/2015,Leslie Dam,Condamine and Balonne,Golden Perch,37000
1/02/2015,Connolly Dam,Condamine and Balonne,Golden Perch,10000
2/02/2015,Teemburra Dam,Pioneer,Barramundi,3100
3/02/2015,Boondooma Dam,Burnett,Silver Perch,34000
5/02/2015,Tinaroo Dam,Barron,Barramundi,750
7/02/2015,Leslie Dam,Condamine and Balonne,Golden Perch,47200
8/02/2015,Kinchant Dam,Pioneer,Barramundi,70
8/02/2015,Kinchant Dam,Pioneer,Barramundi,180
8/02/2015,Saddlers Waterhole,Warrego,Golden Perch,400
8/02/2015,Angellalla Creek (above weir),Warrego,Murray Cod,2400
8/02/2015,Kinchant Dam,Pioneer,Barramundi,450
9/02/2015,Leslie Dam,Condamine and Balonne,Golden Perch,34700
10/02/2015,Tinaroo Dam,Barron,Barramundi,910
10/02/2015,Tinaroo Dam,Barron,Barramundi,750
11/02/2015,Leslie Dam,Condamine and Balonne,Golden Perch,35400
12/02/2015,Leslie Dam,Condamine and Balonne,Golden Perch,24070
14/02/2015,Borumba Dam,Mary,Golden Perch,40000
14/02/2015,Wuruma Dam,Burnett,Australian Bass,54545
14/02/2015,Leslie Dam,Condamine and Balonne,Golden Perch,37000
15/02/2015,Tinaroo Dam,Barron,Barramundi,520
27/02/2015,Connolly Dam,Condamine and Balonne,Silver Perch,1500
